"Id";"Item";"Quantity";"Comment"
1;"Wooden log, diameter 16mm";"1 pc";"Vertical holder"
2;"Sand";"1 kg";"Stand load"
3;"Screw 3.5 x 12 mm";"8 pcs";"Stand cover"
4;"Screw 2.2 x 10 mm";"5 pcs";"Buckles"
