"Id";"Položka";"Množství";"Komentář"
1;"Dřevěná kulatina, průměr 16mm";"1 ks";"Svislý držák"
2;"Písek";"1 kg";"Zátěž stojanu"
3;"Vrut 3,5 x 12 mm";"8 ks";"Kryt stojanu"
4;"Vrut 2,2 x 10 mm";"5 ks";"Spony"
